Country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Denmark,8127.0,9351.0,9512.0,9470.0,9939.0,9863.0,10067.0,11038.0,11617.0,12552.0,13156.0,13799.0,14328.0,15562.0,16686.0,18561.0,20300.0,21445.0,23400.0,24722.0,25334.0,26103.0,27155.0,28088.0,30081.0,32268.0,31818.0,31747.0,32906.0
Djibouti,6.0,7.0,5.0,1.0,2.0,2.0,2.0,4.0,5.0,7.0,7.0,11.0,9.0,16.0,14.0,14.0,19.0,19.0,24.0,17.0,20.0,23.0,21.0,21.0,35.0,69.0,39.0,58.0,68.0
Dominica,3.0,2.0,7.0,,,8.0,3.0,8.0,5.0,11.0,11.0,10.0,7.0,9.0,20.0,20.0,29.0,31.0,24.0,36.0,35.0,42.0,34.0,27.0,22.0,26.0,27.0,24.0,29.0
Dominican Republic,38.0,27.0,23.0,29.0,34.0,23.0,22.0,27.0,36.0,42.0,42.0,56.0,63.0,51.0,55.0,75.0,82.0,117.0,104.0,135.0,137.0,167.0,191.0,264.0,314.0,369.0,408.0,408.0,470.0
Ecuador,96.0,158.0,153.0,134.0,139.0,127.0,170.0,202.0,207.0,283.0,295.0,335.0,390.0,474.0,436.0,469.0,607.0,700.0,969.0,1642.0,2407.0,3540.0,4553.0,5102.0,5845.0,6040.0,6784.0,7110.0,8049.0
Egypt,2930.0,2945.0,3002.0,2983.0,3289.0,3536.0,3730.0,4475.0,4522.0,4722.0,5223.0,5838.0,6551.0,8325.0,9223.0,10864.0,12904.0,14264.0,15146.0,16449.0,18843.0,18735.0,21303.0,24783.0,31191.0,37013.0,41951.0,40679.0,41897.0
El Salvador,17.0,26.0,7.0,16.0,17.0,25.0,33.0,23.0,56.0,45.0,46.0,38.0,40.0,70.0,91.0,92.0,87.0,76.0,99.0,148.0,141.0,122.0,135.0,115.0,111.0,176.0,218.0,236.0,215.0
Equatorial Guinea,2.0,6.0,1.0,6.0,,4.0,3.0,4.0,9.0,5.0,8.0,10.0,6.0,14.0,11.0,8.0,11.0,9.0,14.0,16.0,26.0,15.0,20.0,19.0,15.0,30.0,23.0,28.0,19.0
Eritrea,5.0,4.0,18.0,12.0,13.0,17.0,25.0,26.0,25.0,31.0,45.0,52.0,24.0,27.0,25.0,35.0,14.0,28.0,30.0,29.0,28.0,37.0,50.0,60.0,67.0,79.0,86.0,73.0,80.0
Estonia,586.0,611.0,669.0,677.0,653.0,724.0,744.0,825.0,940.0,1076.0,1281.0,1501.0,1637.0,1743.0,2111.0,2214.0,2398.0,2578.0,2879.0,2829.0,2954.0,3131.0,3241.0,3705.0,3892.0,4284.0,4169.0,4231.0,4192.0
Eswatini,19.0,26.0,35.0,21.0,26.0,16.0,27.0,27.0,19.0,39.0,36.0,35.0,53.0,72.0,106.0,90.0,80.0,87.0,91.0,100.0,101.0,135.0,148.0,158.0,163.0,164.0,192.0,179.0,146.0
Ethiopia,264.0,254.0,247.0,282.0,247.0,256.0,294.0,353.0,372.0,415.0,505.0,590.0,604.0,727.0,803.0,1024.0,1235.0,1439.0,1801.0,1861.0,2113.0,2866.0,3558.0,4577.0,6564.0,8725.0,11268.0,10302.0,12234.0
Falkland Islands (Malvinas),1.0,3.0,9.0,9.0,9.0,6.0,18.0,24.0,20.0,27.0,18.0,34.0,16.0,15.0,21.0,18.0,28.0,24.0,14.0,25.0,22.0,21.0,28.0,30.0,19.0,37.0,20.0,27.0,18.0
Faroe Islands,9.0,6.0,14.0,11.0,10.0,10.0,12.0,10.0,17.0,28.0,19.0,18.0,33.0,19.0,41.0,36.0,47.0,37.0,54.0,63.0,75.0,81.0,92.0,114.0,68.0,110.0,149.0,110.0,135.0
Federated States of Micronesia,4.0,1.0,9.0,5.0,6.0,4.0,,9.0,9.0,17.0,10.0,19.0,10.0,14.0,26.0,8.0,12.0,13.0,14.0,16.0,12.0,23.0,21.0,14.0,32.0,18.0,18.0,19.0,18.0
Fiji,30.0,42.0,45.0,50.0,59.0,56.0,63.0,86.0,106.0,109.0,149.0,169.0,140.0,140.0,135.0,155.0,177.0,215.0,264.0,245.0,337.0,340.0,354.0,390.0,471.0,496.0,508.0,499.0,451.0
Finland,7975.0,8584.0,8892.0,8886.0,9667.0,9938.0,10128.0,10938.0,11874.0,12599.0,13193.0,13388.0,13809.0,14791.0,15177.0,15819.0,16565.0,17428.0,18231.0,18853.0,19407.0,19509.0,20031.0,21060.0,21814.0,23231.0,23366.0,22742.0,24537.0
France,55318.0,59957.0,60231.0,60882.0,61827.0,62882.0,64855.0,69471.0,73360.0,80030.0,84396.0,86285.0,90665.0,96828.0,98869.0,102626.0,106434.0,109934.0,111116.0,112086.0,113869.0,114581.0,113483.0,113339.0,115344.0,119375.0,115683.0,111330.0,112837.0
French Guiana,20.0,19.0,22.0,28.0,24.0,21.0,31.0,30.0,44.0,54.0,55.0,60.0,52.0,53.0,50.0,53.0,73.0,82.0,70.0,81.0,99.0,73.0,102.0,96.0,131.0,126.0,106.0,121.0,137.0
French Polynesia,42.0,45.0,45.0,39.0,41.0,33.0,43.0,39.0,40.0,40.0,49.0,63.0,61.0,77.0,71.0,80.0,112.0,76.0,93.0,126.0,129.0,114.0,150.0,162.0,168.0,171.0,138.0,152.0,142.0
French Southern Territories,,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,
Gabon,45.0,56.0,66.0,66.0,47.0,55.0,62.0,64.0,87.0,106.0,113.0,90.0,105.0,117.0,109.0,159.0,130.0,166.0,189.0,184.0,175.0,185.0,187.0,209.0,196.0,292.0,338.0,270.0,315.0
Gambia,69.0,66.0,67.0,73.0,62.0,67.0,60.0,78.0,80.0,86.0,105.0,96.0,109.0,111.0,113.0,93.0,124.0,144.0,154.0,166.0,170.0,185.0,148.0,190.0,239.0,294.0,312.0,323.0,347.0
Georgia,320.0,369.0,363.0,380.0,436.0,472.0,424.0,412.0,511.0,654.0,655.0,559.0,649.0,745.0,672.0,888.0,963.0,951.0,988.0,1173.0,1480.0,1528.0,1762.0,2252.0,2074.0,2058.0,2052.0,2189.0,2240.0
Germany,76155.0,83983.0,84865.0,84761.0,87276.0,89850.0,92882.0,98998.0,105103.0,116341.0,119437.0,122085.0,125478.0,133238.0,138202.0,143322.0,151150.0,153984.0,157421.0,160885.0,165747.0,169022.0,171481.0,174693.0,178280.0,192469.0,187192.0,181342.0,185893.0
Ghana,194.0,226.0,220.0,230.0,221.0,212.0,232.0,261.0,323.0,366.0,390.0,512.0,547.0,678.0,754.0,936.0,1079.0,1175.0,1387.0,1651.0,2053.0,2326.0,2849.0,3453.0,4229.0,5136.0,6148.0,6261.0,7006.0
Gibraltar,,,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,6.0,11.0,8.0,5.0,3.0,7.0,6.0,11.0,13.0,19.0,13.0,7.0,7.0,7.0,14.0,46.0,61.0,66.0,70.0
Greece,5110.0,5570.0,5817.0,5975.0,6748.0,7175.0,7999.0,8848.0,10241.0,11988.0,13881.0,14446.0,15351.0,16300.0,16381.0,16648.0,17073.0,17143.0,17245.0,17175.0,17473.0,17724.0,18232.0,19330.0,20721.0,23752.0,24012.0,24103.0,24715.0
Greenland,11.0,11.0,14.0,14.0,24.0,16.0,25.0,34.0,42.0,38.0,43.0,46.0,45.0,34.0,68.0,74.0,100.0,109.0,105.0,124.0,106.0,107.0,126.0,133.0,117.0,160.0,140.0,164.0,168.0
Grenada,8.0,6.0,4.0,6.0,4.0,5.0,6.0,14.0,13.0,17.0,40.0,66.0,78.0,46.0,52.0,77.0,100.0,100.0,133.0,109.0,122.0,198.0,215.0,206.0,244.0,271.0,255.0,249.0,256.0
